Task ID,Start Time,End Time
8769001d-8c4c-4628-ae62-5dc09369fcc2,0:21:30,1:00:34
8769001d-8c4c-4628-ae62-5dc09369fcc3,0:23:34,1:34:56
8769001d-8c4c-4628-ae62-5dc09369fcc4,0:25:38,2:09:18
8769001d-8c4c-4628-ae62-5dc09369fcc5,0:27:42,2:43:40
8769001d-8c4c-4628-ae62-5dc09369fcc6,0:29:46,3:18:02
8769001d-8c4c-4628-ae62-5dc09369fcc7,0:31:50,3:52:24
8769001d-8c4c-4628-ae62-5dc09369fcc8,0:33:54,4:26:46
8769001d-8c4c-4628-ae62-5dc09369fcc9,0:35:58,5:01:08
8769001d-8c4c-4628-ae62-5dc09369fcc10,0:38:02,5:35:30
8769001d-8c4c-4628-ae62-5dc09369fcc11,0:40:06,6:09:52
8769001d-8c4c-4628-ae62-5dc09369fcc12,0:42:10,6:44:14
8769001d-8c4c-4628-ae62-5dc09369fcc13,0:44:14,7:18:36
8769001d-8c4c-4628-ae62-5dc09369fcc14,0:46:18,7:52:58
8769001d-8c4c-4628-ae62-5dc09369fcc15,0:48:22,8:27:20
8769001d-8c4c-4628-ae62-5dc09369fcc16,0:50:26,9:01:42
8769001d-8c4c-4628-ae62-5dc09369fcc17,0:52:30,9:36:04
8769001d-8c4c-4628-ae62-5dc09369fcc18,0:54:34,10:10:26
8769001d-8c4c-4628-ae62-5dc09369fcc19,0:56:38,10:44:48
8769001d-8c4c-4628-ae62-5dc09369fcc20,0:58:42,11:19:10
8769001d-8c4c-4628-ae62-5dc09369fcc21,1:00:46,11:53:32
